listing_id,title,price_chf,source_status,ad_text,location,profile_creation_year,profile_creation_missing,content_score,price_score,profile_score,fraud_index,manual_state_code,risk_target,content_band,price_band,profile_band,risk_band,risk_target_label,dataset,market_price_chf,price_ratio,confirmed_extreme,confirmed_positive,confirmed_negative
55,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a vérifier avant l'achat veuillez me contacter pour plus d'informations,"Le Mans, PDL",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
56,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé  batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a vérifier avant l'achat  veuillez me contacter pour plus d'informations,"Blois, CVL",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
57,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a vérifier avant l'achat veuillez me contacter pour plus d'informations,"Chambéry, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
58,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max 256gb disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie  100% veuillez me contacter pour plus d'informations,"Lyon, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
59,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a vérifier avant l'achat veuillez me contacter pour plus d'informations,"Saint-Martin-le-Vinoux, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
60,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a vérifier avant l'achat veuillez me contacter pour plus d'informations,"Annecy, ARA",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
61,iPhone 14 pro max 256gb,350,POSITIVE,iPhone 14 pro max couleur gold disponible a vendre urgent a 350 pour des raisons personnelles état nickel jamais devisé batterie 100% État nickel 10/10 Mémoire 256gb Tout d'origine a  vérifier avant l'achat veuillez me contacter pour plus d'informations ,"Villeneuve, VD",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
62,IPHONE 14PRO MAX 256GB COULEURS,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Créteil, IDF",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
63,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Nanterre, IDF",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
64,IPHONE 14PRO MAX 256GB,350,POSITIVE,"A VENDRE  IPHONE 14PRO MAX 256GB A 350  PRIX FERME AVEC SON ACCESSOIRES,LA CHARGEUR, SON ÉCOUTEURS, NIVEAU DE LA BATTERIE 100% INTÉRESSÉ M'ENVOYER UNE MESSAGE MERCI","Argenteuil, IDF",,1,2,3,2,10,3,1,similar,suspiciously-low,intermediate-or-missing,fraud-confirmed,unfavorable,exploratory_sample,850,0.4117647058823529,1,1,0
