evaluation,dataset,n_rows,class_0,class_1,tn,fp,fn,tp,accuracy,precision,recall,f1,specificity,auc
exploratory_original_script,exploratory_sample,315,34,281,9,25,15,266,0.873015873015873,0.9140893470790378,0.9466192170818505,0.9300699300699301,0.2647058823529412,0.8255181075989115
exploratory_clean_rerun,exploratory_sample,315,34,281,8,26,12,269,0.8793650793650793,0.911864406779661,0.9572953736654805,0.9340277777777778,0.23529411764705882,0.8414800083734562
case_study_original_script,case_study_sample,2166,1015,1151,944,71,29,1122,0.9538319482917821,0.9404861693210393,0.9748045178105995,0.9573378839590444,0.9300492610837439,0.9775496141714425
confirmed_subset_validation,exploratory_sample,121,7,114,5,2,0,114,0.9834710743801653,0.9827586206896551,1.0,0.991304347826087,0.7142857142857143,0.9135338345864662
confirmed_subset_validation,case_study_sample,361,343,18,343,0,2,16,0.9944598337950139,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9993521218011013
